
­ƒöì Auditing 139 endpoints on https://kelionai.app

  Ô£à admin-notify ÔÇö HTTP 200 (1114ms)
  Ô£à admin-traffic ÔÇö HTTP 200 (696ms)
  Ô£à age-adapter ÔÇö HTTP 200 (584ms)
  Ô£à ai-credits ÔÇö HTTP 200 (644ms)
  Ô£à analytics-dashboard ÔÇö HTTP 200 (604ms)
  Ô£à api-gateway ÔÇö HTTP 200 (620ms)
  Ô£à api-keys ÔÇö HTTP 200 (624ms)
  Ô£à api-subscription ÔÇö HTTP 200 (708ms)
  Ô£à audio-editor ÔÇö HTTP 200 (561ms)
  Ô£à audit-log ÔÇö HTTP 200 (766ms)
  Ô£à auth-forgot-password ÔÇö HTTP 200 (697ms)
  Ô£à auth-login ÔÇö HTTP 200 (683ms)
  Ô£à auth-logout ÔÇö HTTP 200 (874ms)
  Ô£à auth-me ÔÇö HTTP 200 (714ms)
  Ô£à auth-refresh ÔÇö HTTP 200 (768ms)
  Ô£à auth-register ÔÇö HTTP 200 (664ms)
  Ô£à auth-resend-verification ÔÇö HTTP 200 (697ms)
  Ô£à auth-reset-password ÔÇö HTTP 200 (659ms)
  Ô£à auth-verify-email ÔÇö HTTP 200 (792ms)
  Ô£à auth ÔÇö HTTP 200 (718ms)
  ÔØî auto-poster ÔÇö HTTP 500 (138ms)
  Ô£à baby-monitor-mode ÔÇö HTTP 200 (573ms)
  Ô£à backtesting-engine ÔÇö HTTP 200 (616ms)
  Ô£à booking-system ÔÇö HTTP 200 (716ms)
  Ô£à browse-live ÔÇö HTTP 200 (717ms)
  Ô£à buy-credits ÔÇö HTTP 200 (716ms)
  Ô£à calendar ÔÇö HTTP 200 (617ms)
  Ô£à canvas ÔÇö HTTP 200 (610ms)
  Ô£à chart-generator-financial ÔÇö HTTP 200 (1050ms)
  Ô£à chart-generator ÔÇö HTTP 200 (792ms)
  Ô£à chat ÔÇö HTTP 200 (690ms)
  Ô£à check-user ÔÇö HTTP 200 (630ms)
  Ô£à claude-audit ÔÇö HTTP 200 (1240ms)
  Ô£à claude-orchestrator ÔÇö HTTP 200 (1104ms)
  Ô£à code-interpreter ÔÇö HTTP 200 (574ms)
  Ô£à cost-tracker ÔÇö HTTP 200 (575ms)
  Ô£à cry-detector ÔÇö HTTP 200 (614ms)
  Ô£à crypto-feed ÔÇö HTTP 200 (716ms)
  Ô£à currency-converter ÔÇö HTTP 200 (713ms)
  Ô£à dalle ÔÇö HTTP 200 (1024ms)
  Ô£à deep-research ÔÇö HTTP 200 (662ms)
  Ô£à deepseek ÔÇö HTTP 200 (1005ms)
  Ô£à document-checker ÔÇö HTTP 200 (686ms)
  Ô£à elevenlabs-tts ÔÇö HTTP 200 (716ms)
  Ô£à email-alerts ÔÇö HTTP 200 (617ms)
  Ô£à email-manager ÔÇö HTTP 200 (613ms)
  Ô£à env-check ÔÇö HTTP 200 (605ms)
  Ô£à export-document ÔÇö HTTP 200 (725ms)
  Ô£à file-upload ÔÇö HTTP 200 (615ms)
  Ô£à financial-calculator ÔÇö HTTP 200 (615ms)
  Ô£à free-trial ÔÇö HTTP 200 (716ms)
  Ô£à gdpr-cleanup ÔÇö HTTP 200 (642ms)
  Ô£à gemini-chat ÔÇö HTTP 200 (1033ms)
  Ô£à gemini-live-token ÔÇö HTTP 200 (677ms)
  Ô£à generate-image ÔÇö HTTP 200 (610ms)
  Ô£à generate-music ÔÇö HTTP 200 (619ms)
  Ô£à generate-video ÔÇö HTTP 200 (718ms)
  Ô£à get-porcupine-key ÔÇö HTTP 200 (715ms)
  Ô£à get-secret ÔÇö HTTP 200 (614ms)
  Ô£à group-chat ÔÇö HTTP 200 (651ms)
  Ô£à group-location ÔÇö HTTP 200 (678ms)
  Ô£à group-management ÔÇö HTTP 200 (715ms)
  Ô£à health-check ÔÇö HTTP 200 (1130ms)
  Ô£à health ÔÇö HTTP 200 (1225ms)
  Ô£à image-editor ÔÇö HTTP 200 (541ms)
  Ô£à inventory-tracker ÔÇö HTTP 200 (686ms)
  Ô£à invoice-generator ÔÇö HTTP 200 (833ms)
  Ô£à k-analytics ÔÇö HTTP 200 (678ms)
  Ô£à k-presentation ÔÇö HTTP 200 (638ms)
  Ô£à k-security ÔÇö HTTP 200 (595ms)
  Ô£à k-strategic-planner ÔÇö HTTP 200 (666ms)
  Ô£à k-supreme-intelligence ÔÇö HTTP 200 (785ms)
  Ô£à k-terminal ÔÇö HTTP 200 (615ms)
  Ô£à k-web-browser ÔÇö HTTP 200 (643ms)
  Ô£à legal-database-pension ÔÇö HTTP 200 (671ms)
  Ô£à lullaby-generator ÔÇö HTTP 200 (631ms)
  Ô£à maps-config ÔÇö HTTP 200 (612ms)
  Ô£à market-data-feed ÔÇö HTTP 200 (618ms)
  Ô£à memory-cleanup ÔÇö HTTP 200 (630ms)
  Ô£à memory ÔÇö HTTP 200 (634ms)
  Ô£à messenger-webhook ÔÇö HTTP 200 (681ms)
  Ô£à neural-ai ÔÇö HTTP 200 (714ms)
  Ô£à newsletter-subscribe ÔÇö HTTP 200 (775ms)
  Ô£à notes ÔÇö HTTP 200 (655ms)
  Ô£à ocr ÔÇö HTTP 200 (630ms)
  Ô£à order-executor ÔÇö HTTP 200 (700ms)
  Ô£à page-tracking ÔÇö HTTP 200 (390ms)
  Ô£à parent-dashboard ÔÇö HTTP 200 (634ms)
  Ô£à paypal-admin ÔÇö HTTP 200 (617ms)
  Ô£à paypal-webhook ÔÇö HTTP 200 (614ms)
  Ô£à pension-calculator ÔÇö HTTP 200 (714ms)
  Ô£à pension-content-generator ÔÇö HTTP 200 (686ms)
  Ô£à pension-forms ÔÇö HTTP 200 (645ms)
  Ô£à podcast ÔÇö HTTP 200 (616ms)
  Ô£à portfolio-tracker ÔÇö HTTP 200 (632ms)
  Ô£à progress-tracker ÔÇö HTTP 200 (696ms)
  Ô£à quiz-generator-kids ÔÇö HTTP 200 (555ms)
  Ô£à quiz-generator ÔÇö HTTP 200 (772ms)
  Ô£à realtime-session ÔÇö HTTP 200 (615ms)
  Ô£à realtime-token ÔÇö HTTP 200 (615ms)
  Ô£à recipe-calculator ÔÇö HTTP 200 (617ms)
  Ô£à referral ÔÇö HTTP 200 (652ms)
  Ô£à report-generator ÔÇö HTTP 200 (574ms)
  Ô£à reward-system ÔÇö HTTP 200 (614ms)
