
­ƒöì Auditing 139 endpoints on https://kelionai.app

  Ô£à admin-notify ÔÇö HTTP 200 (527ms)
  Ô£à admin-traffic ÔÇö HTTP 200 (356ms)
  Ô£à age-adapter ÔÇö HTTP 200 (251ms)
  Ô£à ai-credits ÔÇö HTTP 200 (409ms)
  Ô£à analytics-dashboard ÔÇö HTTP 200 (306ms)
  Ô£à api-gateway ÔÇö HTTP 200 (204ms)
  Ô£à api-keys ÔÇö HTTP 200 (330ms)
  Ô£à api-subscription ÔÇö HTTP 200 (335ms)
  Ô£à audio-editor ÔÇö HTTP 200 (329ms)
  Ô£à audit-log ÔÇö HTTP 200 (374ms)
  Ô£à auth-forgot-password ÔÇö HTTP 200 (474ms)
  Ô£à auth-login ÔÇö HTTP 200 (409ms)
  Ô£à auth-logout ÔÇö HTTP 200 (199ms)
  Ô£à auth-me ÔÇö HTTP 200 (413ms)
  Ô£à auth-refresh ÔÇö HTTP 200 (409ms)
  Ô£à auth-register ÔÇö HTTP 200 (322ms)
  Ô£à auth-resend-verification ÔÇö HTTP 200 (391ms)
  Ô£à auth-reset-password ÔÇö HTTP 200 (409ms)
  Ô£à auth-verify-email ÔÇö HTTP 200 (339ms)
  Ô£à auth ÔÇö HTTP 200 (275ms)
  ÔØî auto-poster ÔÇö HTTP 500 (204ms)
  Ô£à baby-monitor-mode ÔÇö HTTP 200 (300ms)
  Ô£à backtesting-engine ÔÇö HTTP 200 (334ms)
  Ô£à booking-system ÔÇö HTTP 200 (387ms)
  Ô£à browse-live ÔÇö HTTP 200 (308ms)
  Ô£à buy-credits ÔÇö HTTP 200 (361ms)
  Ô£à calendar ÔÇö HTTP 200 (457ms)
  Ô£à canvas ÔÇö HTTP 200 (410ms)
  Ô£à chart-generator-financial ÔÇö HTTP 200 (613ms)
  Ô£à chart-generator ÔÇö HTTP 200 (185ms)
  Ô£à chat ÔÇö HTTP 200 (328ms)
  Ô£à check-user ÔÇö HTTP 200 (200ms)
  Ô£à claude-audit ÔÇö HTTP 200 (616ms)
  Ô£à claude-orchestrator ÔÇö HTTP 200 (521ms)
  Ô£à code-interpreter ÔÇö HTTP 200 (298ms)
  Ô£à cost-tracker ÔÇö HTTP 200 (409ms)
  Ô£à cry-detector ÔÇö HTTP 200 (314ms)
  Ô£à crypto-feed ÔÇö HTTP 200 (301ms)
  Ô£à currency-converter ÔÇö HTTP 200 (306ms)
  Ô£à dalle ÔÇö HTTP 200 (531ms)
  Ô£à deep-research ÔÇö HTTP 200 (332ms)
  Ô£à deepseek ÔÇö HTTP 200 (673ms)
  Ô£à document-checker ÔÇö HTTP 200 (308ms)
  Ô£à elevenlabs-tts ÔÇö HTTP 200 (408ms)
  Ô£à email-alerts ÔÇö HTTP 200 (305ms)
  Ô£à email-manager ÔÇö HTTP 200 (367ms)
  Ô£à env-check ÔÇö HTTP 200 (248ms)
  Ô£à export-document ÔÇö HTTP 200 (203ms)
  Ô£à file-upload ÔÇö HTTP 200 (410ms)
  Ô£à financial-calculator ÔÇö HTTP 200 (318ms)
  Ô£à free-trial ÔÇö HTTP 200 (296ms)
  Ô£à gdpr-cleanup ÔÇö HTTP 200 (205ms)
  Ô£à gemini-chat ÔÇö HTTP 200 (585ms)
  Ô£à gemini-live-token ÔÇö HTTP 200 (437ms)
  Ô£à generate-image ÔÇö HTTP 200 (308ms)
  Ô£à generate-music ÔÇö HTTP 200 (295ms)
  Ô£à generate-video ÔÇö HTTP 200 (420ms)
  Ô£à get-porcupine-key ÔÇö HTTP 200 (205ms)
  Ô£à get-secret ÔÇö HTTP 200 (408ms)
  Ô£à group-chat ÔÇö HTTP 200 (410ms)
  Ô£à group-location ÔÇö HTTP 200 (409ms)
  Ô£à group-management ÔÇö HTTP 200 (333ms)
  Ô£à health-check ÔÇö HTTP 200 (593ms)
  Ô£à health ÔÇö HTTP 200 (500ms)
  Ô£à image-editor ÔÇö HTTP 200 (416ms)
  Ô£à inventory-tracker ÔÇö HTTP 200 (206ms)
  Ô£à invoice-generator ÔÇö HTTP 200 (203ms)
  Ô£à k-analytics ÔÇö HTTP 200 (276ms)
  Ô£à k-presentation ÔÇö HTTP 200 (439ms)
  Ô£à k-security ÔÇö HTTP 200 (308ms)
  Ô£à k-strategic-planner ÔÇö HTTP 200 (306ms)
  Ô£à k-supreme-intelligence ÔÇö HTTP 200 (409ms)
  Ô£à k-terminal ÔÇö HTTP 200 (339ms)
  Ô£à k-web-browser ÔÇö HTTP 200 (275ms)
  Ô£à legal-database-pension ÔÇö HTTP 200 (195ms)
  Ô£à lullaby-generator ÔÇö HTTP 200 (316ms)
  Ô£à maps-config ÔÇö HTTP 200 (408ms)
  Ô£à market-data-feed ÔÇö HTTP 200 (352ms)
  Ô£à memory-cleanup ÔÇö HTTP 200 (364ms)
  Ô£à memory ÔÇö HTTP 200 (307ms)
  Ô£à messenger-webhook ÔÇö HTTP 200 (363ms)
  Ô£à neural-ai ÔÇö HTTP 200 (353ms)
  Ô£à newsletter-subscribe ÔÇö HTTP 200 (205ms)
  Ô£à notes ÔÇö HTTP 200 (408ms)
  Ô£à ocr ÔÇö HTTP 200 (409ms)
  Ô£à order-executor ÔÇö HTTP 200 (409ms)
  Ô£à page-tracking ÔÇö HTTP 200 (615ms)
  Ô£à parent-dashboard ÔÇö HTTP 200 (306ms)
  Ô£à paypal-admin ÔÇö HTTP 200 (214ms)
  Ô£à paypal-webhook ÔÇö HTTP 200 (373ms)
  Ô£à pension-calculator ÔÇö HTTP 200 (198ms)
  Ô£à pension-content-generator ÔÇö HTTP 200 (338ms)
  Ô£à pension-forms ÔÇö HTTP 200 (393ms)
  Ô£à podcast ÔÇö HTTP 200 (329ms)
  Ô£à portfolio-tracker ÔÇö HTTP 200 (300ms)
  Ô£à progress-tracker ÔÇö HTTP 200 (198ms)
  Ô£à quiz-generator-kids ÔÇö HTTP 200 (320ms)
  Ô£à quiz-generator ÔÇö HTTP 200 (401ms)
  Ô£à realtime-session ÔÇö HTTP 200 (307ms)
  Ô£à realtime-token ÔÇö HTTP 200 (306ms)
  Ô£à recipe-calculator ÔÇö HTTP 200 (309ms)
  Ô£à referral ÔÇö HTTP 200 (612ms)
  Ô£à report-generator ÔÇö HTTP 200 (204ms)
  Ô£à reward-system ÔÇö HTTP 200 (316ms)
  Ô£à risk-calculator ÔÇö HTTP 200 (298ms)
  Ô£à route-optimizer ÔÇö HTTP 200 (330ms)
  Ô£à safe-mode ÔÇö HTTP 200 (358ms)
  Ô£à screen-time-limiter ÔÇö HTTP 200 (336ms)
  Ô£à search ÔÇö HTTP 200 (306ms)
  Ô£à seo-analyzer ÔÇö HTTP 200 (307ms)
  Ô£à setup-admin ÔÇö HTTP 200 (331ms)
  Ô£à setup-permanent-user ÔÇö HTTP 200 (282ms)
  Ô£à smart-brain ÔÇö HTTP 200 (410ms)
  Ô£à social-media-stats ÔÇö HTTP 200 (333ms)
  Ô£à speak ÔÇö HTTP 200 (383ms)
  Ô£à stable-diffusion ÔÇö HTTP 200 (414ms)
  Ô£à story-generator ÔÇö HTTP 200 (226ms)
  Ô£à stripe-checkout ÔÇö HTTP 200 (348ms)
  Ô£à stripe-webhook ÔÇö HTTP 200 (342ms)
  Ô£à template-generator ÔÇö HTTP 200 (379ms)
  Ô£à tiktok-webhook ÔÇö HTTP 200 (233ms)
  Ô£à trace-collector ÔÇö HTTP 200 (307ms)
  Ô£à trading-alerts ÔÇö HTTP 200 (306ms)
  Ô£à trading-bot-engine ÔÇö HTTP 200 (351ms)
  Ô£à trading-bot-scheduler ÔÇö HTTP 200 (295ms)
  Ô£à trading-memory ÔÇö HTTP 200 (278ms)
  Ô£à transcribe ÔÇö HTTP 200 (408ms)
  Ô£à translate ÔÇö HTTP 200 (408ms)
  Ô£à usage-analytics ÔÇö HTTP 200 (307ms)
  Ô£à usage-limiter ÔÇö HTTP 200 (307ms)
  Ô£à user-data ÔÇö HTTP 200 (411ms)
  Ô£à vector-store ÔÇö HTTP 200 (304ms)
  Ô£à video-editor ÔÇö HTTP 200 (410ms)
  Ô£à vision ÔÇö HTTP 200 (411ms)
  Ô£à weather ÔÇö HTTP 200 (408ms)
  Ô£à web-search ÔÇö HTTP 200 (306ms)
  Ô£à whisper ÔÇö HTTP 200 (308ms)
  Ô£à wolfram ÔÇö HTTP 200 (304ms)
  Ô£à workout-planner ÔÇö HTTP 200 (333ms)

ÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉ
  Ô£à OK: 138 | ÔÜá´©Å  Warn: 0 | ÔØî Fail: 1
  ­ƒôè Total: 139 endpoints
  ÔÅ▒´©Å  Time: 48.6s
  ­ƒîÉ Base: https://kelionai.app
ÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉÔòÉ

­ƒôä Report saved: audit_report.json
