"Client-side cross-site scripting","Writing user input directly to the DOM allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///public/components/k-referral-teletext.js:14:44:14:65""]].","/public/components/k-referral-teletext.js","336","27","426","9"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///.k1_backups/audit_2026-02-07/dead_files/extracted_js.js:2849:28:2849:38""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///.k1_backups/audit_2026-02-07/dead_files/extracted_js.js:2855:32:2855:42""]] is reinterpreted as HTML without escaping meta-characters.","/.k1_backups/audit_2026-02-07/dead_files/extracted_js.js","2588","34","2602","21"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/app.html:4436:36:4436:46""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///public/app.html:4442:40:4442:50""]] is reinterpreted as HTML without escaping meta-characters.","/public/app.html","4175","42","4189","21"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/components/k-referral-teletext.js:455:23:455:34""]] is reinterpreted as HTML without escaping meta-characters.","/public/components/k-referral-teletext.js","336","27","426","9"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/components/k-workspace-panel.js:785:66:785:79""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///public/components/k-workspace-panel.js:793:66:793:79""]] is reinterpreted as HTML without escaping meta-characters.","/public/components/k-workspace-panel.js","801","30","807","23"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/components/subscription.js:1239:23:1239:66""]] is reinterpreted as HTML without escaping meta-characters.","/public/components/subscription.js","624","33","624","58"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/components/subscription.js:1159:31:1159:75""]] is reinterpreted as HTML without escaping meta-characters.","/public/components/subscription.js","1161","34","1186","9"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/components/task-workspace.js:649:28:649:75""]] is reinterpreted as HTML without escaping meta-characters.","/public/components/task-workspace.js","669","40","669","137"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match script end tags like </script >.","/.k1_backups/audit_2026-02-07/dead_files/validate-code.js","32","36","32","68"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match script end tags like </script >.","/.k1_backups/duplicates_20260207_1456/k-web-browser.js","130","19","130","49"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match script end tags like </script >.","/netlify/functions/browse-live.js","40","23","40","53"
"Double escaping or unescaping","When escaping special characters using a meta-character like backslash or ampersand, the meta-character has to be escaped first to avoid double-escaping, and conversely it has to be unescaped last to avoid double-unescaping.","warning","This replacement may produce '&' characters that are double-unescaped [[""here""|""relative:///.k1_backups/duplicates_20260207_1456/k-web-browser.js:129:12:138:30""]].","/.k1_backups/duplicates_20260207_1456/k-web-browser.js","129","12","137","31"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///.k1_backups/audit_2026-02-07/dead_files/validate-code.js:34:48:34:48""]], which may cause an HTML element injection vulnerability.","/.k1_backups/audit_2026-02-07/dead_files/validate-code.js","34","37","34","71"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<style""|""relative:///.k1_backups/duplicates_20260207_1456/k-web-browser.js:131:19:131:24""]], which may cause an HTML element injection vulnerability.","/.k1_backups/duplicates_20260207_1456/k-web-browser.js","129","12","131","55"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///.k1_backups/duplicates_20260207_1456/k-web-browser.js:130:19:130:25""]], which may cause an HTML element injection vulnerability.","/.k1_backups/duplicates_20260207_1456/k-web-browser.js","129","12","130","57"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<style""|""relative:///netlify/functions/browse-live.js:41:23:41:28""]], which may cause an HTML element injection vulnerability.","/netlify/functions/browse-live.js","39","29","41","59"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///netlify/functions/browse-live.js:40:23:40:29""]], which may cause an HTML element injection vulnerability.","/netlify/functions/browse-live.js","39","29","40","61"
